what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1394009572779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394009591492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394009592580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394009628087
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394009629108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394009667793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394009670412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1394009724510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1394009732490
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394009742373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394009743986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394009749108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394009750362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394009755720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394009756596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394009776844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394009779311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394009797348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394009801378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394009812575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394009901498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394009912352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394009929978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394009943662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394009946063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394009948481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394009949478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394009951307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394009957546
error,log,,,"No command output when running: 'am start -n COM.TQC.GDD02/COM.TQC.GDD02.GDD02 -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1394009963308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394009970595
error,log,,,"No command output when running: 'am start -n COM.TQC.GDD02/COM.TQC.GDD02.GDD02 -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1394009983084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010013834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010015377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010019182
error,log,,,"No command output when running: 'am start -n COM.TQC.GDD02/COM.TQC.GDD02.GDD02 -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1394010026390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010302394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010310726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010317966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394010372075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394010375405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394010376844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394010383642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010385421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010387673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010402451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010408739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394010420003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394010427478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010432901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010444142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394010489562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394010492891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394010499230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394010510383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010516053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010533709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394010549130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394010551405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394010568437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394010572187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394010573912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010578730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010608306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010641633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010657780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394010670800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394010685555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394010690734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394010696843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010698601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010699737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010712570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010720745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1394010763552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394010764956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394010767930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010776350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394010797824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394010865850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394010867185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394010926847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394010927878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394010938419
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1394010953565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394010969546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394010970741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394010982902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394010983939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394010995148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394010996315
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394011007838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394011073160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394011074413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394011081664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394011090925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394011132219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394011141422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394011196596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1394011213812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394011220440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394011224402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394011233956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394011399098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394011408250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394011409618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394011435201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394011446541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394011482906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394011493602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394011505749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394011506747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394011510148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394011521982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394011524202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394011575208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394011576271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394011595238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394011596065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394011615656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1394011620892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394011627060
